Medicine Name,Use,Side Effects,Dosage
Pradaxa,Pradaxa (dabigatran) is an anticoagulant that works by blocking the clotting protein thrombin. Pradaxa is used to prevent blood clots from forming because of a certain irregular heart rhythm (atrial fibrillation). Preventing these blood clots helps to reduce the risk of a stroke.,"['any bleeding that will not stop,', 'headache,', 'weakness,', 'dizziness,', 'lightheadedness,', 'easy bruising,']","The usual recommended dose of Pradaxa is 150 mg taken orally, twice daily Pradaxa is administered in capsule form."
Tafinlar,Tafinlar (dabrafenib) is a kinase inhibitor used to treat patients with melanoma with BRAF V600E mutation that is metastatic or unable to be removed by surgery (unresectable).,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'little or no urination,', 'fever,', 'chills,']","The recommended dose for Tafinlar is 150 mg orally taken twice daily, approximately 12 hours apart. Take at least 1 hour before or at least 2 hours after a meal."
Dtic-Dome,DTIC-Dome (dacarbazine) is a cancer (antineoplastic) medication used to treat skin cancer (malignant melanoma) and Hodgkin's Disease. DTIC-Dome is available in generic form.,"['nausea', 'vomiting', 'loss of appetite', 'diarrhea', 'skin rash, or', 'flushing (numbness, warmth, redness, or tingly feeling in your face). \n\t']",Common side effects of DTIC-Dome include:
Daklinza,Daklinza (daclatasvir) is a hepatitis C virus (HCV) NS5A inhibitor indicated for use with sofosbuvir for the treatment of chronic HCV genotype 3.,"['headache, ', 'fatigue, ', 'nausea, ', 'diarrhea, ', 'low levels of iron in the blood (anemia), ', 'rash, ']",The recommended dose of Daklinza is 60 mg taken orally once daily with or without food in combination with sofosbuvir for 12 weeks.
Zenapax,Zenapax (daclizumab) is an immunosuppressant used to prevent the body from rejecting a transplanted kidney. Zenapax is usually used as part of a treatment regimen including other medications.,"[' nausea', ' vomiting', ' upset stomach', ' constipation', ' diarrhea', ' tremor']",The recommended dose for Zenapax in adult and pediatric patients is 1.0 mg/kg.
Zinbryta,"Zinbryta (daclizumab) injection is an interleukin-2 receptor blocking antibody indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (MS). Because of its safety profile, the use of Zinbryta should generally be reserved for patients who have had an inadequate response to two or more drugs indicated for the treatment of MS.","['runny or stuffy nose', 'upper respiratory tract infection', 'rash, including drug rash', 'influenza', 'skin rash', 'mouth pain']",The recommended dosage of Zinbryta is 150 milligrams once monthly.
Dacogen,Dacogen (decitabine) for Injection is a cancer (antineoplastic) medication used to treat myelodysplastic syndromes (certain types of blood or bone marrow cancer). Dacogen is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'chills,', 'sore throat,']",There are 2 dosing regimens for Dacogen. Option 1: Administer Dacogen at a dose of 15 mg/m² by continuous intravenous infusion over 3 hours repeated every 8 hours for 3 days. This cycle should be repeated every 6 weeks. Option 2: Administer Dacogen at a dose of 20 mg/m² by continuous intravenous infusion over 1 hour repeated daily for 5 days. This cycle should be repeated every 4 weeks.
Vizimpro,Vizimpro (dacomitinib) is a kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as detected by an FDA-approved test.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'new or worsening breathing problems', 'chest pain,', 'wheezing,']",The recommended dosage of Vizimpro is 45 mg orally once daily with or without food.
Cosmegen,"Cosmegen (dactinomycin) for Injection is a cancer (antineoplastic) medication used to treat different types of cancers that affect the kidneys, uterus, testicles, bones, muscles, joints, and soft tissues. Cosmegen is also used to treat solid tumors. Cosmegen is available in generic form.","['nausea or vomiting (may be severe)', 'stomach pain', 'loss of appetite', 'diarrhea', 'acne', 'pain/redness at the injection site']","The dosage of Cosmegen varies depending on the tolerance of the patient, the size and location of the tumor, and the use of other forms of therapy."
Daklinza,Daklinza (daclatasvir) is a hepatitis C virus (HCV) NS5A inhibitor indicated for use with sofosbuvir for the treatment of chronic HCV genotype 3.,"['headache, ', 'fatigue, ', 'nausea, ', 'diarrhea, ', 'low levels of iron in the blood (anemia), ', 'rash, ']",The recommended dose of Daklinza is 60 mg taken orally once daily with or without food in combination with sofosbuvir for 12 weeks.
Dalvance,"Dalvance (dalbavancin) for injection is a lipoglycopeptide used to treat adult patients with acute bacterial skin and skin structure infections (ABSSSI) caused by susceptible isolates of the following Gram-positive microorganisms: Staphylococcus aureus (including methicillin susceptible and methicillin-resistant strains), Streptococcus pyogenes, Streptococcus agalactiae and Streptococcus anginosus group (including S. anginosus, S. intermedius, S. constellatus).","['nausea,', 'vomiting, ', 'headache, ', 'diarrhea, ', 'rash, and ', 'itching']","For treatment of adults with ABSSSI, the recommended two-dose regimen of Dalvance is 1000 mg followed one week later by 500 mg. Each dose should be administered over 30 minutes by intravenous infusion."
Ampyra,Ampyra (dalfampridine) Extended-Release is a potassium channel blocker used to improve walking in patients with multiple sclerosis (MS).,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'seizure,', 'pain or burning when you urinate,', 'numbness,']","The maximum recommended dose of Ampyra is one 10 mg tablet twice daily, taken with or without food, and should not be exceeded. Doses should be taken approximately 12 hours apart."
Daliresp,Daliresp (roflumilast) is a selective phosphodiesterase 4 (PDE4) inhibitor indicated as a treatment for chronic obstructive pulmonary disease (COPD) in patients who also suffer from chronic bronchitis. Daliresp is not a bronchodilator and is not indicated for the relief of acute bronchospasm.,"['diarrhea, ', 'nausea, ', 'stomach or abdominal pain, ', 'headache, ', 'loss of appetite, ', 'minor weight loss, ']","Daliresp is available as a tablet. The recommended dose of Daliresp is one tablet per day, with or without food."
Dalmane,"Dalmane (flurazepam) is a benzodiazepine used to treat insomnia symptoms, such as trouble falling or staying asleep. Dalmane is available in generic form.","['dizziness, ', 'weakness, ', 'loss of coordination, ', 'blurred vision, ', 'headache, ', 'depression, ']","Tell your doctor if you have daytime drowsiness (or during hours when you are not normally sleeping) when using Dalmane. Some people using Dalmane have engaged in activity such as driving, eating, or making phone calls and later having no memory of the activity. If this happens to you, stop taking Dalmane and talk to your doctor. Tell your doctor if you have serious side effects of Dalmane including:"
Fragmin,"Fragmin (dalteparin) is an anticoagulant (blood thinner), a type of heparin indicated to prevent ischemic complications in unstable angina and non-Q-wave myocardial infarction, when concurrently administered with aspirin therapy. Fragmin is also used for the prevention of deep vein thrombosis in certain patients.","['easy bruising or bleeding, or ', 'pain, redness, irritation, bruising, or swelling where the medicine was injected. \n\t', 'Fragmin can cause bleeding if its effect on your blood clotting proteins is too strong.\n\t', 'serious signs of bleeding, including unusual pain/swelling/discomfort, \n\t', 'unusual or prolonged bleeding, ', 'unusual or easy bruising, ']","Fragmin is available in single-dose, prefilled syringes preassembled with a needle guard device, and multiple-dose vials. Fragmin is administered by subcutaneous injection."
Dalvance,"Dalvance (dalbavancin) for injection is a lipoglycopeptide used to treat adult patients with acute bacterial skin and skin structure infections (ABSSSI) caused by susceptible isolates of the following Gram-positive microorganisms: Staphylococcus aureus (including methicillin susceptible and methicillin-resistant strains), Streptococcus pyogenes, Streptococcus agalactiae and Streptococcus anginosus group (including S. anginosus, S. intermedius, S. constellatus).","['nausea,', 'vomiting, ', 'headache, ', 'diarrhea, ', 'rash, and ', 'itching']","For treatment of adults with ABSSSI, the recommended two-dose regimen of Dalvance is 1000 mg followed one week later by 500 mg. Each dose should be administered over 30 minutes by intravenous infusion."
Danazol,"Danazol is a synthetic steroid used to treat pelvic pain and infertility due to endometriosis, and also to treat breast pain/tenderness/nodules due to fibrocystic breast disease. Danazol is available in generic form.","['swelling of your hands and feet,', 'menstrual changes (spotting, missed periods),', 'mood changes,', 'nervousness,', 'mood swings,', 'rash,']","To treat endometriosis, a starting dose of 800 mg danazol given in two divided doses is recommended. The total daily dosage of danazol for fibrocystic breast disease ranges from 100 mg to 400 mg, given in two divided doses depending upon patient response."
Danocrine,"Danocrine (danazol) is a steroid used to treat endometriosis and fibrocystic breast disease. Danocrine is also used to prevent attacks of angioedema in people with an inherited form of this disorder. The brand name Danocrine is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'loss of appetite,', 'stomach pain (upper right side),', 'cough with bloody mucus,']",What Are Side Effects of Danocrine?
Danocrine,"Danocrine (danazol) is a steroid used to treat endometriosis and fibrocystic breast disease. Danocrine is also used to prevent attacks of angioedema in people with an inherited form of this disorder. The brand name Danocrine is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'loss of appetite,', 'stomach pain (upper right side),', 'cough with bloody mucus,']",What Are Side Effects of Danocrine?
Dantrium Capsules,"Dantrium (dantrolene sodium) is a muscle relaxant used to treat muscle spasticity (stiffness and spasms) caused by conditions such as a spinal cord injury, stroke, cerebral palsy, or multiple sclerosis. Dantrium is also used to prevent muscle stiffness and spasms caused by malignant hyperthermia (a rapid rise in body temperature) that can occur during surgery with certain types of anesthesia. Dantrium is available in generic form.","['drowsiness,', 'dizziness,', 'weakness,', 'tiredness,', 'nausea,', 'vomiting,']","The usual adult dosage schedule for Dantrium is 25 mg once daily for seven days, then 25 mg three times daily for seven days, then 50 mg three times daily for seven days, and up to 100 mg three times daily."
Dantrium,"Dantrium Intravenous (dantrolene sodium) is a skeletal muscle relaxant mainly used in as an emergency treatment for malignant hyperthermia, which is a rare reaction to medications (mainly anesthetics). Dantrium Intravenous is available in generic form.","['muscle weakness,', 'drowsiness, ', 'dizziness, ', 'low energy, ', 'tired feeling, ', 'injection site reactions (pain, redness, or swelling), ']","Dantrium Intravenous should be administered by continuous rapid intravenous push beginning at a minimum dose of 1 mg/kg, and continuing until symptoms subside or the maximum cumulative dose of 10 mg/kg has been reached."
Revonto,"Revonto (dantrolene sodium for injection) is a skeletal muscle relaxant indicated, along with appropriate supportive measures, for the management of fulminant hypermetabolism of skeletal muscle characteristic of malignant hyperthermia crises in patients of all ages. Revonto is also indicated preoperatively and sometimes postoperatively, to prevent or attenuate the development of clinical and laboratory signs of malignant hyperthermia in individuals judged to be malignant hyperthermia susceptible.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'nausea,', 'upper stomach pain,', 'itching,']","The recommended prophylactic dose of Revonto is 2.5 mg/kg, starting approximately 1.25 hours before anticipated anesthesia and infused over approximately 1 hour."
Dantrium Capsules,"Dantrium (dantrolene sodium) is a muscle relaxant used to treat muscle spasticity (stiffness and spasms) caused by conditions such as a spinal cord injury, stroke, cerebral palsy, or multiple sclerosis. Dantrium is also used to prevent muscle stiffness and spasms caused by malignant hyperthermia (a rapid rise in body temperature) that can occur during surgery with certain types of anesthesia. Dantrium is available in generic form.","['drowsiness,', 'dizziness,', 'weakness,', 'tiredness,', 'nausea,', 'vomiting,']","The usual adult dosage schedule for Dantrium is 25 mg once daily for seven days, then 25 mg three times daily for seven days, then 50 mg three times daily for seven days, and up to 100 mg three times daily."
Dantrium,"Dantrium Intravenous (dantrolene sodium) is a skeletal muscle relaxant mainly used in as an emergency treatment for malignant hyperthermia, which is a rare reaction to medications (mainly anesthetics). Dantrium Intravenous is available in generic form.","['muscle weakness,', 'drowsiness, ', 'dizziness, ', 'low energy, ', 'tired feeling, ', 'injection site reactions (pain, redness, or swelling), ']","Dantrium Intravenous should be administered by continuous rapid intravenous push beginning at a minimum dose of 1 mg/kg, and continuing until symptoms subside or the maximum cumulative dose of 10 mg/kg has been reached."
Ryanodex,"Ryanodex (dantrolene sodium) is a skeletal muscle relaxant used to treat malignant hyperthermia in conjunction with appropriate supportive measures, and to prevent malignant hyperthermia in patients at high risk.","['loss of grip strength', 'weakness in the legs', 'muscle weakness', 'drowsiness', 'dizziness', 'nausea']",Ryanodex is administered by intravenous push at a minimum dose of 1 mg/kg.
Danyelza,"Danyelza (naxitamab-gqgk) is a GD2-binding monoclonal antibody indicated, in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), to treat pediatric patients 1 year of age and older and adult patients with relapsed or refractory high-risk neuroblastoma in the bone or bone marrow who have demonstrated a partial response, minor response, or stable disease to prior therapy.","['infusion-related reactions occurring on the day of infusion or the day following an infusion (low blood pressure, bronchospasm, flushing, wheezing, stridor, hives, shortness of breath, fever, swelling of the face/lips/tongue, respiratory tract edema, chills, low blood oxygen, itching, and rash)', 'pain (abdominal pain, pain in extremity, bone pain, neck pain, back pain, and musculoskeletal pain),', 'fast heart rate,', 'vomiting,', 'cough,', 'nausea,']","The recommended dosage of Danyelza is 3 mg/kg/day (up to 150 mg/day), administered as an intravenous infusion after dilution on Days 1, 3, and 5 of each treatment cycle. Treatment cycles are repeated every 4 weeks until complete response or partial response, followed by 5 additional cycles every 4 weeks. Subsequent cycles may be repeated every 8 weeks."
Xigduo XR,Xigduo XR (dapagliflozin and metformin HCl) is a combination of two oral antihyperglycemic medications used as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus when treatment with both dapagliflozin and metformin is appropriate.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'bladder pain,', 'bloody urine,', 'cloudy urine,']",The starting dose of Xigduo XR is individualized based on the patient's current treatment.
Qtern,Qtern (dapagliflozin and saxagliptin) tablets are a sodium-glucose cotransporter 2 (SGLT-2) inhibitor and a dipeptidyl peptidase-4 (DPP-4) inhibitor combination product indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus (T2DM) who have inadequate control with dapagliflozin or who are already treated with dapagliflozin and saxagliptin.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'itching,', 'flaking or peeling skin,', 'trouble swallowing,']",The recommended dose of Qtern is a 10 mg dapagliflozin/5 mg saxagliptin tablet taken orally once daily in the morning with or without food.
Farxiga,Farxiga (dapagliflozin) is a sodium-glucose co-transporter 2 (SGLT2) inhibitor used as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'anxiety,', 'bladder pain,', 'pink or cloudy urine,']","The recommended starting dose of Farxiga is 5 mg once daily, taken in the morning, with or without food."
Qternmet XR,"Qternmet XR (dapagliflozin, saxagliptin, and metformin hydrochloride) is a sodium-glucose cotransporter 2 (SGLT2) inhibitor, a dipeptidyl peptidase-4 (DPP-4) inhibitor, and a biguanide combination product indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ","['Qternmet XR is available as a generic drug.', 'upper respiratory tract infection,', 'urinary tract infection (UTI),', 'high levels of fats in the blood (dyslipidemia),', 'headache,', 'diarrhea,']",Qternmet XR may interact with
Jesduvroq,Jesduvroq (daprodustat) is a hypoxia-inducible factor prolyl hydroxylase (HIF PH) inhibitor indicated for the treatment of anemia due to chronic kidney disease in adults who have been receiving dialysis for at least four months.,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'shortness of breath,\xa0', 'swelling of your legs, ankles, or feet,\xa0', 'sudden weight gain,\xa0']","The starting dosage of Jesduvroq is based on a patient’s hemoglobin level, liver function, and concomitant medications."
Aczone Gel,"Aczone (dapsone) Gel, 5% is a sulfone drug indicated for the topical treatment of acne vulgaris. Aczone Gel 5% is available in generic form.","['blue or gray appearance of your lips, fingernails, or inside of your mouth,', 'severe sore throat,', 'unusual thoughts or behavior,', 'back pain,', 'pale or yellowed skin,', 'dark colored urine,']","For topical use only. Not for oral, ophthalmic, or intravaginal use. After the skin is gently washed and patted dry, apply approximately a pea-sized amount of Aczone Gel 5%, in a thin layer to the acne affected areas twice daily. Rub in Aczone Gel 5% gently and completely. Wash hands after application of Aczone Gel 5%."
Dapsone,Dapsone is an antibacterial medication used in the treatment of dermatitis herpetiformis (a skin condition) and leprosy (Hansen's disease).,"['worsening or no improvement in your symptoms,', 'yellowing of the skin or eyes (jaundice),', 'numbness or tinging in your hands or feet,', 'unusual thoughts or behavior,', 'new or worsening cough,', 'fever,']","The dosage of Dapsone is individually adjusted starting in adults with 50 mg daily and correspondingly smaller doses in children. If full control is not achieved within the range of 50-300 mg daily, higher doses may be tried. Dosage should be reduced to a minimum maintenance level as soon as possible."
Daptacel,"Daptacel [(diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed (DTaP)] is an immunization used to help prevent the diseases of diphtheria, tetanus, and pertussis. Most children who are vaccinated with DTaP will be protected throughout childhood. Daptacel is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fainting,', 'dizziness,', 'vision changes,']","Daptacel vaccine is administered as a 5 dose series at 2, 4 and 6 months of age (at intervals of 6-8 weeks), at 15-20 months of age and at 4-6 years of age."
Dapzura RT,"Dapzura RT (daptomycin for injection) is a lipopeptide antibacterial indicated for the treatment of complicated skin and skin structure infections (cSSSI) in adult and pediatric patients (1 to 17 years of age); Staphylococcus aureus bloodstream infections (bacteremia), in adult patients including those with right-sided infective endocarditis; and Staphylococcus aureus bloodstream infections (bacteremia) in pediatricpatients (1 to 17 years of age).","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'severe stomach pain,\xa0', 'diarrhea that is watery or bloody (even if it occurs months after your last dose),\xa0', 'fever,\xa0']","The recommended dosage regimen of Dapzura RT for adult patients for complicated skin and skin structure infections (cSSSI) with a creatinine clearance (CL CR) of 30 mL/minute or greater is 4 mg/kg once every 24 hours for 7 to 14 days. The recommended dosage regimen of Dapzura RT for adult patients for cSSSI with a CL CR of less than 30 mL/minute, including hemodialysis and CAPD is 4 mg/kg once every 48 hours for 7 to 14 days."
Cubicin,Cubicin (daptomycin) is an antibiotic used to treat bacterial infections of the skin and underlying tissues.,"['nausea, ', 'vomiting, ', 'constipation, ', 'diarrhea, ', 'headache, ', 'swelling, ']",The dose and duration of treatment with Cubicin depends upon the condition being treated. It is administered intravenously either by injection over a two (2) minute period or by infusion over a thirty (30) minute period.
Cubicin RF,"Cubicin RF (daptomycin for injection) is a lipopeptide antibacterial indicated for the treatment of complicated skin and skin structure infections (cSSSI) in adult and pediatric patients (1 to 17 years of age); and Staphylococcus aureus bloodstream infections (bacteremia), including those with right-sided infective endocarditis in adult patients.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'diarrhea that is watery or bloody (even if it occurs months after your last dose),', 'fever,']",The dosage of Cubicin RF depends on the condition being treated and the patient's body weight.
Dapzura RT,"Dapzura RT (daptomycin for injection) is a lipopeptide antibacterial indicated for the treatment of complicated skin and skin structure infections (cSSSI) in adult and pediatric patients (1 to 17 years of age); Staphylococcus aureus bloodstream infections (bacteremia), in adult patients including those with right-sided infective endocarditis; and Staphylococcus aureus bloodstream infections (bacteremia) in pediatricpatients (1 to 17 years of age).","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'severe stomach pain,\xa0', 'diarrhea that is watery or bloody (even if it occurs months after your last dose),\xa0', 'fever,\xa0']","The recommended dosage regimen of Dapzura RT for adult patients for complicated skin and skin structure infections (cSSSI) with a creatinine clearance (CL CR) of 30 mL/minute or greater is 4 mg/kg once every 24 hours for 7 to 14 days. The recommended dosage regimen of Dapzura RT for adult patients for cSSSI with a CL CR of less than 30 mL/minute, including hemodialysis and CAPD is 4 mg/kg once every 48 hours for 7 to 14 days."
Daraprim,"Daraprim (pyrimethamine) is an antiparasitic drug used to treat and prevent malaria, and is also used in the treatment of toxoplasmosis.","['nausea, ', 'vomiting, ', 'loss of appetite, ', 'insomnia, ', 'headache, ', 'lightheadedness, or ']","The adult starting dose of Daraprim to treat toxoplasmosis is 50 to 75 mg daily, taken with 1 to 4 g daily of a sulfonamide of the sulfapyrimidine type. Pediatric dose to treat toxoplasmosis is determined by the child's weight. The adult dosage for acute malaria is 50 mg for 2 days; children 4 through 10 years old may be given 25 mg daily for 2 days."
Darzalex Faspro,"Darzalex Faspro (daratumumab and hyaluronidase-fihj) is a combination of a CD38-directed cytolytic antibody and an endoglycosidase used to treat adult patients with multiple myeloma in combination with bortezomib, melphalan and prednisone in newly diagnosed patients who are ineligible for autologous stem cell transplant; in combination with lenalidomide and dexamethasone in newly diagnosed patients who are ineligible for autologous stem cell transplant and in patients with relapsed or refractory multiple myeloma who have received at least one prior therapy; in combination with bortezomib and dexamethasone in patients who have received at least one prior therapy; and as monotherapy, in patients who have received at least three prior lines of therapy including a proteasome inhibitor (PI) and an immunomodulatory agent or who are double-refractory to a PI and an immunomodulatory agent.","['Serious allergic reactions and other severe injection-related reactions.', 'Serious allergic reactions and reactions due to release of certain substances by your body (systemic) that can lead to death, can happen with Darzalex Faspro.', 'shortness of breath or trouble breathing', 'dizziness or lightheadedness (hypotension)', 'cough', 'wheezing']","The recommended dosage of Darzalex Faspro is (1,800 mg daratumumab and 30,000 units hyaluronidase) administered subcutaneously into the abdomen over approximately 3 to 5 minutes according to recommended schedule."
Darzalex,Darzalex (daratumumab) injection is a human CD38-directed monoclonal antibody indicated for the treatment of patients with multiple myeloma who have received at least three prior lines of therapy including a proteasome inhibitor (PI) and an immunomodulatory agent or who are double-refractory to a PI and an immunomodulatory agent.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'dizziness,', 'itchiness,', 'nausea,']","The recommended dose of Darzalex is 16 mg/kg body weight and dosing follows a set schedule. Patients are pre-medicated with corticosteroids, antipyretics, and antihistamines."
Aranesp,"Aranesp (darbepoetin alfa) is an erythropoiesis-stimulating agent, or ESA, used to treat anemia (a lack of red blood cells in the body) in people with long-term serious kidney disease (chronic renal failure) and people receiving chemotherapy for some types of cancer.","['hives,', 'wheezing,', 'difficulty breathing,', 'severe dizziness,', 'fainting,', 'swelling in your face or throat,']","The dosage is based on your medical condition, weight, and response to treatment. Aransep is given as an injection under the skin or into a vein, usually once a week or as directed by your doctor."
Quviviq,Quviviq (daridorexant) is an orexin receptor antagonist indicated for the treatment of adult patients with insomnia characterized by difficulties with sleep onset and/or sleep maintenance. ,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'severe dizziness,\xa0', 'sleepwalking (engaging in activities while not fully awake),\xa0', 'increased depression,\xa0']","The recommended dosage of Quviviq is 25 mg to 50 mg once per night, taken orally within 30 minutes before going to bed, with at least 7 hours remaining prior to planned awakening."
Enablex,"Enablex (darifenacin) is a urinary antispasmodic used to treat symptoms of overactive bladder, such as frequent or urgent urination, and incontinence (urine leakage).","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'constipation,', 'confusion,']","The recommended starting dose of Enablex is 7.5 mg once daily. Based upon individual response, the dose may be increased to 15 mg once daily."
Nubeqa,Nubeqa (darolutamide) is an androgen receptor inhibitor indicated for the treatment of patients with non-metastatic castration-resistant prostate cancer.,"['fatigue,', 'pain in extremities, and', 'rash', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;', 'Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']","The dose of Nubeqa is 600 mg, (two 300 mg tablets) administered orally twice daily with food. Patients should also receive a gonadotropin-releasing hormone (GnRH) analog concurrently or should have had bilateral orchiectomy."
Dartisla ODT,Dartisla ODT (glycopyrrolate) is an anticholinergic indicated in adults to reduce symptoms of a peptic ulcer as an adjunct to treatment of peptic ulcer.,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'severe constipation,\xa0', 'severe stomach pain,\xa0', 'bloating,\xa0']","
Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;
Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out;
Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.
"
